168,NE 118TH ST.,W OF 116TH AVE NE,3407,3251,4553,4066,4366,3410,3625,3298,4090,4370,2763
169,118TH AVE NE,N OF NE 116TH STREET,1730,1557,,,,,,,,,
170,119TH PLACE NE,N OF NE 144TH STREET,2425,2470,,,,,,,,,
171,120TH AVE NE,N OF TOTEM LAKE BLVD,14212,15496,11901,4996,13039,13794,14023,15630,15751,18722,18054
172,120TH AVE NE,N OF NE 80TH ST,5636,5263,5418,4939,6402,5613,4425,4062,5039,4580,4992
173,120TH AVE NE,S OF NE 80TH ST,3313,2940,2883,1298,2963,3069,2316,3459,2608,2856,3580
174,120TH AVE NE,N OF NE 85TH ST,10623,10485,9835,9786,12032,9996,7216,7739,9452,8341,9089
175,120TH AVE NE,S OF NE 85TH ST,6279,5838,6633,6264,8197,6320,4480,5116,5433,4761,4931
176,120TH AVE NE,N OF NE 116TH ST,11619,11121,14628,14778,15024,12503,12781,12093,13539,13643,12499
177,120TH AVE NE,N OF NE 118TH ST,10569,10182,11733,12077,12677,8766,10155,10004,11912,,10272
178,120TH AVE NE,S OF NE 116TH ST,8415,7498,9925,9368,8854,8850,9258,9693,10370,9221,9179
179,120TH AVE NE,N OF NE 128TH ST,9732,10959,10194,9212,12528,12968,12954,13503,14514,11501,13010
180,120TH AVE NE,S OF NE 132ND ST,8135,8263,7132,6504,8545,8591,9266,10011,9125,8865,9369
181,120TH AVE NE,N OF NE 132ND ST,423,332,428,517,378,434,528,,,,
182,NE 120TH PL,W OF 98TH AVE NE,3908,3926,4273,4810,4593,5774,4261,3673,4164,3677,4091
183,NE 120TH ST,E OF SLATER AVE NE,10135,8159,10960,10480,10309,9337,9162,11837,9663,10573,9505
184,NE 120TH ST,W OF SLATER AVE NE,4408,4761,5716,5429,4855,,,,,,
185,NE 120TH ST,W OF 93RD AVE NE,,,284,,,313,,,,,
186,122ND AVE NE,S OF NE 70TH ST,1626,1412,1822,1749,1714,1534,1552,1644,1762,1724,1603
187,122ND AVE NE,N OF NE 70TH ST,1468,1535,1738,1581,1666,1268,1311,1430,1847,1536,1505
188,122ND AVE NE,S OF NE 80TH ST,2017,1841,2420,1953,2143,1647,1552,1813,2616,2538,2646
189,122ND AVE NE,N OF NE 85TH ST,5334,5348,6093,5888,5277,5486,4922,5759,6329,5621,6359
190,122ND AVE NE,S OF NE 85TH ST,3773,4445,5135,4311,5522,4295,1798,4658,2654,3219,3294
191,NE 122ND ST,E of JUANITA DRIVE,2822,2554,3095,3227,3266,3158,3558,,,,
192,NE 123RD ST,E OF SLATER AVE,1551,1368,1362,1495,1490,1520,1329,1422,1158,1690,1611
